node1.cpu$0@100 node1.int$0@100 node1.mem$0@100 node2.cpu$0@100 node2.int$0@100 node2.mem$0@100 node3.cpu$0@100 node3.int$0@100 node3.mem$0@100 node4.cpu$0@100 node4.int$0@100 node4.mem$0@100
3 1 30 9 0 17 12 0 36 24 0 37
3 0 30 9 0 17 12 0 36 24 0 37
3 0 30 9 0 17 12 1 35 21 0 38
3 1 30 9 0 17 9 0 35 24 0 38
3 0 30 9 0 17 15 0 36 27 0 38
3 0 30 9 0 17 12 0 35 21 0 38
3 1 30 6 0 17 12 0 35 24 0 38
3 0 30 9 0 17 12 0 36 24 0 38
3 1 30 9 0 17 12 1 35 21 0 38
6 0 25 9 0 17 15 0 35 24 0 38
6 0 25 9 0 17 12 0 35 24 0 38
3 0 25 12 0 17 12 0 36 21 0 38
3 0 25 9 0 20 12 0 35 33 0 38
3 0 25 9 0 19 12 0 36 24 0 38
3 1 25 9 0 19 12 1 36 24 0 38
3 0 25 9 0 19 15 0 36 24 0 38
3 0 25 9 0 19 15 0 36 24 0 38
3 0 25 9 0 20 51 0 36 21 0 38
6 0 25 9 0 19 12 0 36 21 0 38
3 0 25 15 0 19 12 0 36 21 0 38
3 0 25 9 0 19 15 1 36 21 0 38
6 0 25 9 0 19 15 1 35 24 0 38
3 1 25 9 0 19 12 0 35 24 0 38
3 1 25 12 0 19 12 0 35 24 0 38
3 0 25 9 0 19 12 0 35 21 0 38
3 1 25 9 0 20 12 0 35 24 0 38
3 0 25 9 0 19 9 1 35 24 0 38
0 0 26 9 0 19 12 0 35 21 0 38
3 0 25 9 0 19 15 0 35 27 0 24
3 1 25 9 0 19 12 0 35 24 0 24
3 0 26 9 0 20 12 0 35 21 0 25
3 0 25 9 0 19 12 0 35 21 0 25
3 0 25 9 0 19 15 1 35 24 0 25
3 0 25 9 0 19 15 0 35 24 0 25
6 1 25 9 0 20 12 0 35 24 0 25
3 0 26 12 0 20 9 0 35 21 0 25
3 1 25 9 0 20 12 0 35 24 0 25
3 1 25 9 0 19 15 0 35 21 0 25
3 0 25 9 0 20 9 1 35 24 0 25
3 2 25 9 0 20 12 0 35 24 0 25
3 0 25 9 0 19 15 0 35 24 0 25
3 0 25 9 0 20 12 0 35 21 0 25
3 1 25 9 0 20 12 0 35 21 0 25
3 0 25 9 0 19 12 0 35 24 0 25
3 1 25 9 0 19 15 1 35 21 0 25
3 0 25 9 0 19 15 1 35 24 0 25
3 1 25 9 0 19 12 0 35 24 0 25
3 0 25 9 0 19 12 0 35 24 0 25
3 1 25 9 0 20 15 0 35 21 0 25
3 1 25 9 0 19 12 0 35 24 0 25
3 0 26 9 0 20 12 0 35 21 0 25
3 0 25 9 0 20 15 0 35 21 0 25
3 1 25 9 0 19 12 1 35 24 0 24
3 0 25 9 0 20 15 0 35 24 0 25
3 1 25 9 0 20 12 0 35 24 0 25
3 0 25 9 0 20 15 0 35 24 0 25
3 0 25 9 0 20 15 0 35 21 0 25
3 0 25 9 0 19 15 0 35 24 0 25
6 0 25 9 0 20 12 0 35 24 0 25
3 1 25 9 0 20 15 0 35 21 0 25
3 0 25 9 0 19 12 0 35 24 0 25
3 1 25 9 0 19 15 0 35 24 0 25
3 1 25 9 0 20 12 1 35 24 0 25
3 0 25 9 0 20 15 2 35 24 0 25
3 1 25 12 0 20 12 0 35 27 0 25
3 1 26 9 0 19 12 0 35 21 0 25
0 1 25 9 0 20 12 0 35 24 0 25
3 1 25 9 0 20 15 0 35 21 0 25
3 1 25 9 0 20 12 1 35 21 0 25
3 1 25 9 0 20 15 1 35 21 0 25
3 2 25 9 0 20 12 1 35 24 0 25
3 1 25 12 0 20 12 1 35 24 0 25
3 1 25 9 0 20 15 2 35 24 0 25
3 2 25 9 0 20 12 1 35 21 0 25
3 2 26 12 0 20 9 1 35 24 0 25
3 2 25 9 0 20 12 1 35 21 0 25
3 3 25 9 0 20 15 2 35 24 0 25
3 3 25 9 0 20 12 1 35 24 0 25
3 3 26 9 0 20 12 1 35 24 0 25
3 4 26 9 0 20 12 1 35 24 0 25
3 5 25 9 0 20 12 3 35 24 0 25
3 6 26 9 0 20 21 3 35 21 0 25
6 6 26 9 0 20 12 5 35 24 0 25
3 6 26 12 0 20 15 7 35 24 0 25
3 7 26 9 0 20 12 8 35 21 0 25
3 8 26 9 0 20 12 8 35 24 0 25
6 9 25 9 0 20 12 8 35 21 0 25
6 10 26 9 0 20 15 7 35 21 0 25
3 9 25 9 0 20 15 7 35 27 0 25
3 9 26 9 0 20 12 8 35 21 0 25
3 12 26 9 0 20 12 6 35 21 0 25
6 9 26 9 0 19 24 0 25 3 12 26
9 0 20 12 8 35 21 0 25 6 12 26
9 0 20 15 8 35 24 0 25 9 14 26
9 0 20 12 8 35 24 0 25 3 13 26
15 0 20 12 9 35 24 0 25 3 12 26
9 0 20 12 6 35 24 0 25 3 14 26
9 0 20 12 7 35 24 0 25 6 15 26
9 0 20 15 6 35 24 0 25 6 18 26
9 0 20 12 8 35 21 0 25 6 14 26
9 0 20 12 9 35 24 0 25 6 12 26
12 0 20 12 6 35 24 0 25 3 12 26
9 0 20 12 7 36 21 0 25 3 13 26
9 0 20 12 6 36 21 0 25 3 15 26
9 0 20 15 9 35 24 0 25 6 16 26
9 0 20 15 9 35 21 0 25 9 0 20
12 11 35 21 0 25 6 15 26 9 0 20
15 9 35 24 0 25 3 17 26 9 0 20
12 9 35 24 0 25 6 16 26 9 0 20
15 10 35 24 0 25 6 17 26 9 0 20
12 10 35 21 0 25 6 15 26 9 0 20
15 10 35 24 0 25 3 17 26 9 0 20
15 9 35 27 0 25 6 17 26 9 0 20
12 10 35 24 0 25 6 19 26 9 0 20
15 8 36 21 0 25 6 16 26 9 0 20
15 8 35 24 0 25 6 17 26 9 0 20
15 9 35 21 0 25 6 15 26 9 0 20
15 7 35 21 0 25 6 17 26 9 0 20
15 9 35 24 0 25 6 15 26 12 0 20
12 8 36 21 0 26 6 16 26 9 0 20
15 9 35 24 0 25 6 19 26 9 0 20
15 11 36 24 0 25 6 17 26 9 0 20
15 7 35 21 0 26 6 16 26 9 0 20
15 10 36 24 0 25 6 18 26 9 0 20
15 11 36 24 0 25 6 17 26 9 0 20
15 8 36 21 0 26 6 15 26 9 0 20
12 8 35 21 0 26 6 15 26 9 0 20
12 9 35 24 0 25 3 14 26 9 0 20
12 9 35 21 0 25 6 15 26 9 0 20
18 6 35 24 0 25 12 14 26 9 0 20
12 5 35 24 0 26 3 16 26 9 0 20
12 6 35 24 0 26 3 16 26 9 0 20
15 5 36 21 0 25 6 16 26 9 0 20
12 5 36 21 0 26 3 16 26 9 0 20
15 8 35 21 0 26 6 16 26 9 0 20
15 7 35 24 0 26 6 15 26 9 0 20
12 8 35 27 0 26 3 13 26 9 0 20
12 7 36 21 0 26 3 16 26 6 0 20
12 9 35 24 0 26 9 0 20 15 10 35
24 0 26 6 17 26 9 0 20 15 10 35
24 0 26 6 18 26 9 0 20 15 7 35
24 0 26 9 16 26 9 0 20 12 8 36
24 0 26 6 20 26 12 0 20 15 9 35
24 0 26 3 17 26 9 0 20 15 10 36
21 0 26 6 19 26 9 0 20 12 9 36
21 0 26 6 16 26 9 0 20 15 11 36
21 0 26 6 15 26 9 0 20 15 11 36
24 0 26 6 16 26 9 0 20 15 12 36
24 0 26 3 16 26 12 0 20 15 8 36
21 0 26 6 17 26 9 0 20 12 11 36
24 0 26 6 18 26 9 0 20 12 10 36
24 0 26 6 17 26 9 0 20 15 12 35
21 0 26 6 17 26 9 0 20 21 0 26
6 15 26 9 0 20 12 7 36 24 0 26
6 18 26 12 0 20 12 8 35 24 0 26
6 18 26 9 0 20 15 7 36 21 0 25
3 16 26 9 0 20 12 7 35 21 0 26
6 14 26 9 0 20 12 10 36 21 0 26
3 15 26 9 0 20 12 10 36 24 0 26
6 15 26 9 0 20 15 6 36 24 0 26
6 14 26 9 0 20 15 7 36 24 0 26
6 16 26 9 0 20 12 8 36 21 0 26
6 17 26 9 0 20 12 6 36 24 0 26
6 15 26 9 0 20 15 9 35 21 0 26
12 17 26 9 0 20 18 8 36 21 0 26
6 15 26 9 0 20 15 10 35 24 0 26
3 16 26 9 0 20 12 5 36 21 0 26
9 18 26 9 0 20 12 9 36 24 0 26
3 15 26 9 0 20 12 7 36 21 0 26
3 15 26 9 0 20 12 8 36 24 0 26
6 17 26 9 0 20 15 8 36 24 0 26
9 0 20 12 9 36 27 0 26 6 14 26
9 0 20 12 7 36 24 0 26 6 14 26
9 0 20 12 7 36 21 0 26 6 14 26
9 0 20 15 8 36 21 0 26 6 15 26
9 0 20 15 10 36 24 0 26 6 14 26
9 0 21 15 7 36 21 0 26 6 11 26
9 0 20 12 2 36 24 0 26 3 11 26
12 0 20 12 2 36 24 0 26 6 11 26
9 0 20 12 2 36 24 0 26 3 9 26
9 0 20 12 2 36 21 0 26 3 7 26
9 0 20 15 2 36 21 0 26 3 8 26
9 0 20 15 2 36 21 0 26 3 7 26
9 0 20 15 2 36 24 0 26 3 5 26
9 0 20 12 2 36 24 0 26 3 5 26
9 0 20 12 1 36 21 0 26 3 5 26
9 0 20 12 1 36 21 0 26 3 5 26
9 0 20 15 1 36 24 0 26 3 4 26
9 0 20 12 1 36 21 0 26 6 3 26
9 0 20 15 0 36 24 0 26 3 2 26
9 0 18 9 0 36 21 0 26 3 3 26
9 0 18 12 1 36 24 0 26 0 2 26
9 0 19 12 0 36 24 0 26 3 2 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 2 26
9 0 18 9 0 36 24 0 26 3 1 26
12 0 19 12 1 36 24 0 26 3 2 26
6 0 18 15 1 36 24 0 26 3 1 26
9 0 18 12 0 36 24 0 26 3 2 26
9 0 18 18 0 36 24 0 26 3 2 26
9 0 19 12 0 36 21 0 26 3 1 26
12 0 18 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 21 0 26 3 1 26
9 0 19 12 1 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 21 0 26 3 1 26
9 0 19 15 0 36 27 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 2 27
9 0 19 12 0 36 21 0 26 3 1 26
9 0 19 15 0 36 21 0 26 3 1 26
9 0 19 15 0 36 24 0 26 3 2 26
9 0 19 15 0 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 0 1 26
9 0 19 12 1 36 24 0 26 3 1 26
9 0 18 9 0 36 24 0 26 0 1 26
9 0 19 12 0 36 21 0 26 3 1 26
9 0 19 12 1 36 21 0 26 0 2 26
9 0 19 15 0 36 21 0 26 3 1 26
9 0 19 12 0 36 30 0 26 3 1 26
9 0 18 12 0 36 24 0 26 3 1 26
9 0 19 15 0 36 21 0 26 3 1 26
9 0 19 12 0 36 21 0 26 3 1 26
9 0 19 12 0 36 24 0 26 9 1 26
9 0 19 15 0 36 21 0 26 3 1 26
9 0 19 15 0 36 24 0 26 3 0 26
12 0 19 9 0 36 21 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 15 0 36 24 0 26 3 0 26
9 0 19 12 0 36 21 0 26 3 1 26
9 0 19 12 0 36 27 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 21 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 1 27
9 0 19 15 0 36 24 0 26 3 1 26
9 0 19 15 0 35 24 0 26 6 18 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 1 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 15 0 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 15 0 36 24 0 26 3 1 26
9 0 19 12 1 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 15 0 36 24 0 26 6 1 26
9 0 19 12 0 36 24 0 26 3 1 27
9 0 19 12 0 36 21 0 26 3 0 26
9 0 19 12 1 36 21 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 21 0 26 3 0 27
9 0 19 15 0 36 24 0 26 3 1 26
9 0 19 12 0 36 27 0 26 3 0 26
9 0 19 12 0 36 21 0 26 3 1 26
9 0 19 12 1 36 21 0 26 3 0 26
9 0 18 12 0 36 24 0 26 3 0 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 15 0 36 24 0 26 3 1 26
9 0 19 15 0 36 24 0 26 3 1 26
12 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 9 0 36 24 0 26 0 0 26
9 0 19 15 0 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 21 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 15 0 36 21 0 26 3 0 26
9 0 19 12 0 36 24 0 27 3 0 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 9 0 36 24 0 26 3 0 26
9 0 19 12 1 36 24 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 9 0 36 21 0 26 3 1 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 12 0 36 24 0 26 3 0 26
9 0 19 15 0 36 21 0 26 3 1 26
9 0 19 12 1 36 24 0 27 3 0 26
9 0 19 12 0 36 21 0 26 3 0 26
9 0 19 12 0 36 24 0 27 3 1 26
9 0 19 9 0 36 24 0 26 3 0 26
9 0 19 15 0 36 24 0 26 0 0 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 27 0 26 3 0 26
9 0 19 15 0 36 21 0 27 3 1 26
9 0 19 12 0 36 21 0 27 3 0 26
9 0 19 12 0 36 24 0 26 3 1 26
9 0 19 12 0 36 51 0 26 6 1 26
9 0 19 18 0 36 21 0 26 6 0 26
9 0 19 15 0 36 24 0 26 3 1 26
12 0 19 12 0 36 24 0 26 3 0 26
12 0 19 12 0 36 24 0 26 3 0 26
9 0 19 15 0 36 24 0 26 21 1 27
9 0 19 12 0 37 24 0 26 12 0 27
24 0 19 45 0 32 24 0 26 3 1 27
21 0 20 15 0 32 27 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 0 1 27
9 0 20 15 0 32 24 0 26 3 0 27
9 0 20 12 0 32 21 0 26 6 1 27
9 0 20 21 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 1 27
12 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 0 1 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 1 27
9 0 20 12 0 32 27 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 1 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 6 1 27
9 0 20 15 0 32 24 0 26 3 0 27
9 0 20 12 0 32 21 0 26 3 0 26
12 0 20 15 0 32 21 0 26 3 0 27
9 0 20 12 0 32 21 0 26 3 0 27
9 0 20 15 0 32 24 0 26 3 1 27
9 0 20 9 0 32 24 0 26 3 1 27
9 0 20 15 1 32 24 0 26 3 1 27
9 0 20 12 0 32 27 0 26 3 1 27
9 0 20 15 0 32 24 0 26 3 0 27
9 0 20 12 0 32 21 0 26 3 1 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 21 0 26 3 1 27
9 0 20 15 1 32 24 0 26 6 0 27
9 0 20 12 0 32 24 0 26 3 1 27
12 0 20 12 0 32 24 0 26 3 0 27
9 0 20 15 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 21 0 26 0 0 27
9 0 20 15 0 32 24 0 26 3 1 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 1 32 24 0 26 3 1 27
9 0 20 12 1 32 24 0 26 0 1 27
9 0 20 15 1 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 1 27
9 0 20 15 0 32 21 0 26 3 1 27
9 0 20 15 0 32 24 0 26 3 1 27
12 0 20 12 0 32 21 0 26 3 0 27
9 0 20 12 0 32 21 0 26 3 1 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 15 0 32 24 0 26 3 1 27
9 0 20 15 0 32 24 0 26 3 1 27
9 0 20 12 0 32 27 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 1 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 21 0 27 6 1 27
9 0 20 18 0 32 24 0 26 3 0 27
9 0 20 15 0 32 24 0 26 3 0 27
12 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 21 0 26 3 0 27
9 0 20 15 0 32 24 0 26 3 1 27
9 0 20 15 0 32 24 0 26 3 0 27
9 0 20 15 0 32 24 0 26 3 1 27
9 0 20 12 0 32 27 0 26 3 1 27
9 0 20 12 0 32 24 0 26 3 1 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 1 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 15 0 32 24 0 27 3 1 27
9 0 20 12 0 32 24 0 26 3 1 27
12 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 21 0 26 3 1 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 12 0 32 24 0 26 3 0 27
9 0 20 15 1 32 24 0 26 3 1 27
9 0 20 12 1 32 24 0 26 3 1 27
9 0 20 15 0 32 24 0 27 3 2 27
9 0 20 12 0 32 21 0 26 3 2 27
9 0 20 15 1 32 24 0 26 3 2 27
9 0 20 12 2 32 24 0 26 3 2 27
9 0 20 15 4 29 21 0 26 6 3 27
9 0 20 15 4 30 24 0 26 3 4 27
9 0 20 12 6 30 24 0 26 3 3 27
9 0 20 15 4 30 24 0 26 3 3 27
9 0 20 12 5 30 24 0 26 3 4 27
9 0 20 15 6 30 21 0 27 3 3 27
9 0 20 12 8 30 24 0 26 3 3 27
9 0 20 12 7 30 24 0 26 3 4 27
9 0 20 12 6 30 21 0 26 6 6 27
9 0 20 12 7 30 24 0 26 3 5 27
9 0 20 15 9 30 24 0 26 3 6 27
9 0 20 12 8 30 24 0 27 3 6 27
9 0 20 15 4 30 21 0 26 6 4 27
9 0 20 12 3 30 24 0 26 3 7 27
9 0 20 15 4 30 21 0 27 3 10 27
9 0 20 12 4 30 21 0 26 9 0 20
12 4 30 24 0 27 3 8 27 9 0 20
12 3 30 24 0 27 6 7 27 9 0 20
15 6 30 21 0 27 3 8 27 9 0 20
12 5 30 24 0 26 3 9 27 9 0 20
15 5 30 24 0 26 6 10 27 9 0 20
15 5 30 24 0 27 3 10 27 9 0 20
12 7 30 24 0 27 3 10 27 9 0 21
12 5 30 24 0 26 9 10 27 9 0 20
15 4 30 24 0 27 3 9 27 9 0 20
15 4 30 24 0 27 3 9 27 9 0 20
12 4 30 24 0 27 3 10 27 9 0 20
15 2 30 24 0 27 3 10 27 9 0 20
12 3 30 24 0 27 6 11 27 9 0 21
24 0 26 3 10 27 9 0 20 15 5 30
24 0 27 3 8 27 9 0 20 12 5 30
27 0 27 3 10 27 12 0 20 15 3 30
24 0 27 3 8 27 9 0 20 12 4 30
21 0 27 3 11 27 9 0 20 15 4 30
24 0 27 6 12 27 9 0 21 12 5 30
24 0 27 6 12 27 9 0 20 15 5 30
24 0 27 6 12 27 9 0 20 12 7 30
24 0 27 3 12 27 12 0 20 15 4 30
21 0 27 3 11 27 9 0 20 12 3 30
24 0 27 3 8 27 9 0 21 12 4 30
24 0 27 3 9 27 9 0 20 15 5 30
21 0 27 6 11 27 9 0 20 15 4 30
24 0 27 3 10 27 9 0 20 12 4 30
27 0 27 6 12 27 12 0 20 12 5 30
24 0 27 6 12 27 9 0 20 12 5 30
21 0 27 6 11 27 9 0 20 15 6 30
24 0 27 3 12 27 9 0 20 15 5 30
24 0 27 6 9 27 9 0 20 18 6 30
21 0 27 6 12 27 9 0 20 12 4 30
24 0 27 6 10 27 12 0 21 12 3 30
21 0 27 3 10 27 9 0 20 15 4 30
24 0 26 3 9 27 9 0 20 15 5 30
21 0 27 3 11 27 9 0 20 12 4 30
24 0 27 3 9 27 9 0 20 15 3 30
24 0 27 6 9 27 9 0 21 12 3 30
30 0 27 3 9 27 9 0 20 12 5 30
21 0 27 3 10 27 9 0 20 12 5 30
24 0 27 6 10 27 9 0 21 12 4 30
24 0 27 3 11 27 9 0 20 15 3 30
21 0 27 6 10 27 9 0 20 15 3 30
21 0 27 3 12 27 9 0 20 15 4 30
24 0 27 3 10 27 12 0 21 12 4 30
24 0 27 3 11 27 9 0 20 12 3 30
21 0 27 3 9 27 9 0 20 12 7 30
24 0 27 3 11 27 9 0 20 15 6 30
24 0 27 3 12 27 9 0 21 15 7 31
24 0 27 6 9 27 9 0 20 15 4 30
27 0 27 3 9 27 9 0 20 15 5 30
24 0 27 9 0 20 15 6 30 24 0 27
3 8 27 9 0 20 15 5 30 24 0 27
3 9 27 9 0 20 15 4 30 21 0 27
9 10 27 9 0 21 15 5 30 24 0 27
3 9 27 9 0 21 15 2 30 24 0 27
3 8 27 15 0 20 12 1 30 24 0 27
3 7 27 9 0 21 12 1 30 21 0 27
6 7 27 9 0 21 15 1 30 21 0 27
3 7 27 9 0 20 15 1 30 24 0 27
6 7 27 9 0 20 15 1 30 24 0 27
3 6 27 9 0 20 15 1 30 27 0 27
3 7 27 9 0 20 12 1 30 24 0 27
3 7 27 9 0 20 15 1 30 24 0 27
3 7 27 9 0 21 15 1 30 24 0 27
3 7 27 9 0 20 15 0 30 24 0 27
6 4 27 9 0 20 18 0 31 24 0 27
3 5 27 9 0 20 15 0 31 24 0 27
3 4 27 12 0 19 15 1 31 24 0 27
3 3 27 9 0 19 15 0 31 21 0 27
6 4 27 9 0 19 12 0 31 24 0 27
3 4 27 9 0 19 15 1 31 21 0 27
3 3 27 9 0 19 12 0 31 24 0 27
3 3 27 9 0 19 15 0 31 27 0 27
3 3 27 9 0 19 12 0 30 21 0 27
3 2 27 9 0 19 12 0 31 24 0 27
3 2 27 9 0 19 15 0 31 24 0 27
3 2 27 9 0 19 12 0 31 21 0 27
3 1 27 9 0 19 18 1 31 21 0 27
6 2 27 9 0 19 12 0 31 24 0 27
3 1 27 9 0 18 12 1 31 21 0 27
3 1 27 9 0 18 12 0 31 24 0 27
3 2 27 9 0 18 15 0 31 21 0 27
3 1 27 9 0 19 15 0 31 24 0 27
3 2 27 9 0 18 15 1 31 21 0 27
6 1 27 9 0 19 15 0 31 27 0 27
6 1 27 9 0 19 15 0 31 24 0 27
3 2 27 9 0 19 15 0 31 24 0 27
3 2 27 9 0 19 12 0 31 21 0 27
3 2 27 9 0 19 12 0 31 24 0 27
3 2 27 9 0 19 18 1 31 24 0 27
3 2 27 9 0 19 12 0 31 21 0 27
3 2 27 12 0 19 12 0 31 21 0 27
3 2 27 9 0 18 12 0 31 24 0 27
3 1 27 9 0 19 15 0 31 21 0 27
3 2 27 9 0 19 15 0 31 24 0 27
3 2 27 9 0 19 15 0 31 24 0 27
3 2 27 9 0 19 12 0 31 24 0 27
3 2 27 9 0 19 15 0 31 24 0 27
3 2 27 9 0 19 15 0 31 21 0 27
3 2 27 9 0 19 15 0 31 24 0 27
3 1 27 9 0 19 12 0 31 24 0 27
3 2 26 9 0 19 18 0 31 24 0 27
6 2 26 9 0 19 15 1 31 24 0 27
3 1 26 9 0 18 12 1 31 24 0 27
3 1 26 9 0 19 15 0 31 24 0 27
3 2 26 9 0 19 15 0 31 21 0 27
3 1 26 9 0 19 15 0 31 24 0 27
3 1 27 9 0 19 15 1 31 21 0 27
3 1 27 9 0 19 15 0 31 27 0 27
3 1 27 9 0 19 12 0 32 24 0 27
3 1 26 9 0 19 15 0 31 21 0 27
3 1 27 9 0 19 12 0 31 24 0 27
3 1 27 9 0 19 15 0 31 24 0 27
9 2 27 9 0 19 18 0 31 24 0 27
3 1 27 9 0 19 15 0 31 24 0 27
3 1 27 9 0 18 12 0 31 24 0 27
3 1 27 9 0 19 12 0 31 24 0 27
3 1 27 9 0 19 15 0 31 24 0 27
3 1 27 9 0 19 15 0 31 24 0 27
3 1 26 9 0 19 15 0 31 21 0 27
3 1 27 9 0 19 15 0 31 27 0 27
3 1 27 9 0 19 15 0 31 21 0 27
3 1 27 9 0 19 12 0 31 21 0 27
3 0 27 9 0 19 12 0 31 24 0 27
3 1 27 9 0 19 15 1 31 21 0 27
3 1 27 9 0 19 18 0 31 24 0 27
6 19 26 9 0 19 12 0 31 24 0 27
3 2 27 12 0 19 15 0 31 24 0 27
3 1 27 9 0 19 15 0 31 24 0 27
3 1 27 9 0 19 12 0 31 24 0 27
3 1 27 9 0 19 12 1 31 24 0 27
3 1 27 9 0 19 15 0 31 21 0 27
3 1 27 9 0 19 15 0 31 24 0 27
3 1 27 9 0 19 15 0 31 21 0 27
3 1 27 9 0 19 15 0 31 24 0 27
3 1 27 9 0 19 15 0 31 24 0 27
