time,id,origin,destination
1411579260102,e4,nodeE,nodeL
1411579260103,e7,nodeF,nodeG
1411579260104,e13,nodeG,nodeI
1411579260105,e13,nodeI,nodeC
1411579260106,e11,nodeF,nodeA
1411579260107,e21,nodeK,nodeF
1411579260108,e2,nodeN,nodeA
1411579260109,e9,nodeA,nodeG
1411579260110,e12,nodeA,nodeL
1411579260111,e4,nodeL,nodeI
1411579260112,e4,nodeI,nodeG
1411579260113,e8,nodeG,nodeI
1411579260114,e14,nodeC,nodeA
1411579260115,e7,nodeG,nodeK
1411579260116,e5,nodeB,nodeE
1411579260117,e8,nodeI,nodeJ
1411579260118,e19,nodeD,nodeJ
1411579260119,e5,nodeE,nodeC
1411579260120,e19,nodeJ,nodeM
1411579260121,e1,nodeA,nodeF
1411579260122,e6,nodeA,nodeJ
1411579260123,e9,nodeG,nodeM
1411579260124,e15,nodeB,nodeL
1411579260125,e7,nodeK,nodeG
1411579260126,e9,nodeM,nodeL
1411579260127,e3,nodeF,nodeG
1411579260128,e7,nodeG,nodeC
1411579260129,e6,nodeJ,nodeD
1411579260130,e11,nodeA,nodeE
1411579260131,e15,nodeL,nodeH
1411579260132,e18,nodeG,nodeH
1411579260133,e13,nodeC,nodeH
1411579260134,e13,nodeH,nodeL
1411579260135,e4,nodeG,nodeE
1411579260136,e9,nodeL,nodeD
1411579260137,e4,nodeE,nodeD
1411579260138,e19,nodeM,nodeI
1411579260139,e4,nodeD,nodeF
1411579260140,e12,nodeL,nodeM
1411579260141,e16,nodeJ,nodeK
1411579260142,e14,nodeA,nodeL
1411579260143,e15,nodeH,nodeG
1411579260144,e9,nodeD,nodeB
1411579260145,e10,nodeI,nodeK
1411579260146,e15,nodeG,nodeH
1411579260147,e20,nodeI,nodeL
1411579260148,e16,nodeK,nodeA
1411579260149,e1,nodeF,nodeK
1411579260150,e17,nodeB,nodeJ
1411579260151,e6,nodeD,nodeB
1411579260152,e20,nodeL,nodeC
1411579260153,e7,nodeC,nodeH
1411579260154,e18,nodeH,nodeL
1411579260155,e18,nodeL,nodeJ
1411579260156,e4,nodeF,nodeI
1411579260157,e3,nodeG,nodeE
1411579260158,e16,nodeA,nodeB
1411579260159,e20,nodeC,nodeK
1411579260160,e13,nodeL,nodeF
1411579260161,e16,nodeB,nodeG
1411579260162,e9,nodeB,nodeM
1411579260163,e16,nodeG,nodeH
1411579260164,e9,nodeM,nodeL
1411579260165,e8,nodeJ,nodeF
1411579260166,e20,nodeK,nodeF
1411579260167,e6,nodeB,nodeL
1411579260168,e17,nodeJ,nodeE
1411579260169,e20,nodeF,nodeN
1411579260170,e20,nodeN,nodeM
1411579260171,e16,nodeH,nodeN
1411579260172,e3,nodeE,nodeF
1411579260173,e8,nodeF,nodeG
1411579260174,e21,nodeF,nodeI
1411579260175,e5,nodeC,nodeK
1411579260176,e18,nodeJ,nodeI
1411579260177,e16,nodeN,nodeJ
1411579260178,e19,nodeI,nodeE
1411579260179,e19,nodeE,nodeM
1411579260180,e6,nodeL,nodeI
1411579260181,e9,nodeL,nodeG
1411579260182,e9,nodeG,nodeH
1411579260183,e3,nodeF,nodeB
1411579260184,e6,nodeI,nodeB
1411579260185,e21,nodeI,nodeN
1411579260186,e20,nodeM,nodeH
1411579260187,e10,nodeK,nodeB
1411579260188,e22,nodeA,nodeL
1411579260189,e5,nodeK,nodeN
1411579260190,e7,nodeH,nodeI
1411579260191,e12,nodeM,nodeC
1411579260192,e15,nodeH,nodeC
1411579260193,e13,nodeF,nodeC
1411579260194,e5,nodeN,nodeG
1411579260195,e14,nodeL,nodeB
1411579260196,e7,nodeI,nodeE
1411579260197,e15,nodeC,nodeD
1411579260198,e19,nodeM,nodeI
1411579260199,e11,nodeE,nodeN
1411579260200,e14,nodeB,nodeG
1411579260201,e21,nodeN,nodeD
1411579260202,e2,nodeA,nodeB
1411579260203,e3,nodeB,nodeM
1411579260204,e8,nodeG,nodeH
1411579260205,e5,nodeG,nodeL
1411579260206,e6,nodeB,nodeJ
1411579260207,e8,nodeH,nodeK
1411579260208,e14,nodeG,nodeH
1411579260209,e9,nodeH,nodeF
1411579260210,e20,nodeH,nodeB
1411579260211,e11,nodeN,nodeJ
1411579260212,e14,nodeH,nodeN
1411579260213,e11,nodeJ,nodeI
1411579260214,e19,nodeI,nodeF
1411579260215,e20,nodeB,nodeM
1411579260216,e15,nodeD,nodeI
1411579260217,e7,nodeE,nodeI
1411579260218,e7,nodeI,nodeL
1411579260219,e7,nodeL,nodeK
1411579260220,e3,nodeM,nodeI
1411579260221,e11,nodeI,nodeK
1411579260222,e21,nodeD,nodeB
1411579260223,e12,nodeC,nodeK
1411579260224,e21,nodeB,nodeK
1411579260225,e6,nodeJ,nodeK
1411579260226,e9,nodeF,nodeL
1411579260227,e19,nodeF,nodeH
1411579260228,e3,nodeI,nodeL
1411579260229,e12,nodeK,nodeC
1411579260230,e14,nodeN,nodeH
1411579260231,e17,nodeE,nodeF
1411579260232,e7,nodeK,nodeJ
1411579260233,e21,nodeK,nodeI
1411579260234,e16,nodeJ,nodeC
1411579260235,e20,nodeM,nodeD
1411579260236,e5,nodeL,nodeB
1411579260237,e22,nodeL,nodeM
1411579260238,e2,nodeB,nodeN
1411579260239,e10,nodeB,nodeH
1411579260240,e17,nodeF,nodeK
1411579260241,e2,nodeN,nodeG
1411579260242,e14,nodeH,nodeC
1411579260243,e2,nodeG,nodeK
1411579260244,e6,nodeK,nodeC
1411579260245,e15,nodeI,nodeH
1411579260246,e7,nodeJ,nodeN
1411579260247,e4,nodeI,nodeK
1411579260248,e6,nodeC,nodeF
1411579260249,e15,nodeH,nodeC
1411579260250,e5,nodeB,nodeN
1411579260251,e19,nodeH,nodeC
1411579260252,e19,nodeC,nodeK
1411579260253,e19,nodeK,nodeD
1411579260254,e7,nodeN,nodeA
1411579260255,e15,nodeC,nodeA
1411579260256,e6,nodeF,nodeG
1411579260257,e13,nodeC,nodeJ
1411579260258,e11,nodeK,nodeM
1411579260259,e9,nodeL,nodeB
1411579260260,e5,nodeN,nodeE
1411579260261,e14,nodeC,nodeM
1411579260262,e21,nodeI,nodeE
1411579260263,e18,nodeI,nodeJ
1411579260264,e18,nodeJ,nodeA
1411579260265,e1,nodeK,nodeN
1411579260266,e16,nodeC,nodeH
1411579260267,e18,nodeA,nodeN
1411579260268,e11,nodeM,nodeI
1411579260269,e16,nodeH,nodeB
1411579260270,e17,nodeK,nodeJ
1411579260271,e19,nodeD,nodeJ
1411579260272,e12,nodeC,nodeK
1411579260273,e9,nodeB,nodeF
1411579260274,e5,nodeE,nodeB
1411579260275,e17,nodeJ,nodeF
1411579260276,e17,nodeF,nodeE
1411579260277,e1,nodeN,nodeL
1411579260278,e20,nodeD,nodeA
1411579260279,e5,nodeB,nodeL
1411579260280,e6,nodeG,nodeB
1411579260281,e8,nodeK,nodeJ
1411579260282,e5,nodeL,nodeG
1411579260283,e20,nodeA,nodeJ
1411579260284,e20,nodeJ,nodeH
1411579260285,e15,nodeA,nodeF
1411579260286,e5,nodeG,nodeM
1411579260287,e4,nodeK,nodeG
1411579260288,e3,nodeL,nodeJ
1411579260289,e22,nodeM,nodeI
1411579260290,e2,nodeK,nodeG
1411579260291,e7,nodeA,nodeL
1411579260292,e3,nodeJ,nodeN
1411579260293,e10,nodeH,nodeC
1411579260294,e14,nodeM,nodeH
1411579260295,e19,nodeJ,nodeM
1411579260296,e10,nodeC,nodeL
1411579260297,e21,nodeE,nodeF
1411579260298,e3,nodeN,nodeH
1411579260299,e13,nodeJ,nodeM
1411579260300,e7,nodeL,nodeA
1411579260301,e17,nodeE,nodeB
1411579260302,e15,nodeF,nodeG
1411579260303,e10,nodeL,nodeN
1411579260304,e2,nodeG,nodeE
1411579260305,e3,nodeH,nodeF
1411579260306,e16,nodeB,nodeN
1411579260307,e17,nodeB,nodeG
1411579260308,e4,nodeG,nodeC
1411579260309,e7,nodeA,nodeG
1411579260310,e6,nodeB,nodeL
1411579260311,e17,nodeG,nodeL
1411579260312,e6,nodeL,nodeB
1411579260313,e9,nodeF,nodeH
1411579260314,e18,nodeN,nodeB
1411579260315,e21,nodeF,nodeN
1411579260316,e3,nodeF,nodeN
1411579260317,e4,nodeC,nodeH
1411579260318,e12,nodeK,nodeB
1411579260319,e10,nodeN,nodeF
1411579260320,e4,nodeH,nodeG
1411579260321,e4,nodeG,nodeK
1411579260322,e14,nodeH,nodeK
1411579260323,e4,nodeK,nodeA
1411579260324,e5,nodeM,nodeD
1411579260325,e1,nodeL,nodeC
1411579260326,e12,nodeB,nodeA
1411579260327,e3,nodeN,nodeC
1411579260328,e20,nodeH,nodeE
1411579260329,e7,nodeG,nodeB
1411579260330,e14,nodeK,nodeA
1411579260331,e16,nodeN,nodeG
1411579260332,e10,nodeF,nodeH
1411579260333,e2,nodeE,nodeK
1411579260334,e9,nodeH,nodeL
1411579260335,e15,nodeG,nodeJ
1411579260336,e20,nodeE,nodeN
1411579260337,e11,nodeI,nodeK
1411579260338,e8,nodeJ,nodeB
1411579260339,e14,nodeA,nodeJ
1411579260340,e14,nodeJ,nodeF
1411579260341,e10,nodeH,nodeB
1411579260342,e13,nodeM,nodeA
1411579260343,e15,nodeJ,nodeN
1411579260344,e7,nodeB,nodeD
1411579260345,e5,nodeD,nodeA
1411579260346,e3,nodeC,nodeL
1411579260347,e11,nodeK,nodeJ
1411579260348,e6,nodeB,nodeE
1411579260349,e2,nodeK,nodeM
1411579260350,e10,nodeB,nodeA
1411579260351,e6,nodeE,nodeA
1411579260352,e6,nodeA,nodeC
1411579260353,e1,nodeC,nodeF
1411579260354,e9,nodeL,nodeI
1411579260355,e16,nodeG,nodeF
1411579260356,e2,nodeM,nodeE
1411579260357,e8,nodeB,nodeF
1411579260358,e7,nodeD,nodeF
1411579260359,e9,nodeI,nodeE
1411579260360,e14,nodeF,nodeD
1411579260361,e10,nodeA,nodeM
1411579260362,e20,nodeN,nodeK
1411579260363,e12,nodeA,nodeK
1411579260364,e6,nodeC,nodeF
1411579260365,e14,nodeD,nodeJ
1411579260366,e20,nodeK,nodeD
1411579260367,e15,nodeN,nodeH
1411579260368,e5,nodeA,nodeM
1411579260369,e17,nodeL,nodeJ
1411579260370,e10,nodeM,nodeG
1411579260371,e13,nodeA,nodeE
1411579260372,e14,nodeJ,nodeH
1411579260373,e8,nodeF,nodeB
1411579260374,e14,nodeH,nodeL
1411579260375,e21,nodeN,nodeJ
1411579260376,e2,nodeE,nodeD
1411579260377,e1,nodeF,nodeN
1411579260378,e17,nodeJ,nodeN
1411579260379,e1,nodeN,nodeA
1411579260380,e1,nodeA,nodeM
1411579260381,e14,nodeL,nodeI
1411579260382,e14,nodeI,nodeB
1411579260383,e21,nodeJ,nodeF
1411579260384,e17,nodeN,nodeB
1411579260385,e17,nodeB,nodeN
1411579260386,e4,nodeA,nodeH
1411579260387,e14,nodeB,nodeA
1411579260388,e18,nodeB,nodeE
1411579260389,e1,nodeM,nodeF
1411579260390,e13,nodeE,nodeK
1411579260391,e6,nodeF,nodeB
1411579260392,e20,nodeD,nodeN
1411579260393,e6,nodeB,nodeF
1411579260394,e16,nodeF,nodeL
1411579260395,e4,nodeH,nodeB
1411579260396,e1,nodeF,nodeL
1411579260397,e1,nodeL,nodeB
1411579260398,e4,nodeB,nodeG
1411579260399,e22,nodeI,nodeB
1411579260400,e9,nodeE,nodeJ
1411579260401,e10,nodeG,nodeF
1411579260402,e13,nodeK,nodeJ
1411579260403,e22,nodeB,nodeD
1411579260404,e21,nodeF,nodeD
1411579260405,e21,nodeD,nodeI
1411579260406,e16,nodeL,nodeB
1411579260407,e9,nodeJ,nodeH
1411579260408,e17,nodeN,nodeJ
1411579260409,e5,nodeM,nodeH
1411579260410,e7,nodeF,nodeI
1411579260411,e13,nodeJ,nodeD
1411579260412,e18,nodeE,nodeN
1411579260413,e13,nodeD,nodeK
1411579260414,e6,nodeF,nodeL
1411579260415,e18,nodeN,nodeJ
1411579260416,e21,nodeI,nodeA
1411579260417,e10,nodeF,nodeK
1411579260418,e12,nodeK,nodeB
1411579260419,e16,nodeB,nodeC
1411579260420,e13,nodeK,nodeD
1411579260421,e15,nodeH,nodeE
1411579260422,e17,nodeJ,nodeC
1411579260423,e5,nodeH,nodeE
1411579260424,e17,nodeC,nodeM
1411579260425,e2,nodeD,nodeF
1411579260426,e10,nodeK,nodeD
1411579260427,e22,nodeD,nodeE
1411579260428,e15,nodeE,nodeL
1411579260429,e19,nodeM,nodeB
1411579260430,e16,nodeC,nodeH
1411579260431,e12,nodeB,nodeF
1411579260432,e11,nodeJ,nodeL
1411579260433,e19,nodeB,nodeM
1411579260434,e3,nodeL,nodeI
1411579260435,e17,nodeM,nodeI
1411579260436,e13,nodeD,nodeJ
1411579260437,e12,nodeF,nodeG
1411579260438,e3,nodeI,nodeK
1411579260439,e7,nodeI,nodeA
1411579260440,e5,nodeE,nodeA
1411579260441,e10,nodeD,nodeC
1411579260442,e8,nodeB,nodeL
1411579260443,e5,nodeA,nodeG
1411579260444,e17,nodeI,nodeJ
1411579260445,e16,nodeH,nodeB
1411579260446,e20,nodeN,nodeH
1411579260447,e7,nodeA,nodeH
1411579260448,e6,nodeL,nodeB
1411579260449,e10,nodeC,nodeB
1411579260450,e6,nodeB,nodeG
1411579260451,e13,nodeJ,nodeN
1411579260452,e20,nodeH,nodeJ
1411579260453,e11,nodeL,nodeD
1411579260454,e8,nodeL,nodeM
1411579260455,e13,nodeN,nodeJ
1411579260456,e13,nodeJ,nodeL
1411579260457,e11,nodeD,nodeL
1411579260458,e13,nodeL,nodeM
1411579260459,e7,nodeH,nodeL
1411579260460,e12,nodeG,nodeE
1411579260461,e6,nodeG,nodeF
1411579260462,e11,nodeL,nodeD
1411579260463,e1,nodeB,nodeI
1411579260464,e9,nodeH,nodeJ
1411579260465,e17,nodeJ,nodeI
1411579260466,e14,nodeA,nodeB
1411579260467,e14,nodeB,nodeL
1411579260468,e9,nodeJ,nodeD
1411579260469,e12,nodeE,nodeN
1411579260470,e18,nodeJ,nodeN
1411579260471,e15,nodeL,nodeJ
1411579260472,e4,nodeG,nodeD
1411579260473,e3,nodeK,nodeL
1411579260474,e9,nodeD,nodeE
1411579260475,e2,nodeF,nodeJ
1411579260476,e2,nodeJ,nodeE
1411579260477,e1,nodeI,nodeB
1411579260478,e19,nodeM,nodeD
1411579260479,e19,nodeD,nodeN
1411579260480,e9,nodeE,nodeA
1411579260481,e14,nodeL,nodeI
1411579260482,e4,nodeD,nodeM
1411579260483,e16,nodeB,nodeM
1411579260484,e20,nodeJ,nodeG
1411579260485,e22,nodeE,nodeH
1411579260486,e11,nodeD,nodeL
1411579260487,e8,nodeM,nodeL
1411579260488,e6,nodeF,nodeE
1411579260489,e3,nodeL,nodeK
1411579260490,e9,nodeA,nodeN
1411579260491,e1,nodeB,nodeF
1411579260492,e5,nodeG,nodeN
1411579260493,e16,nodeM,nodeI
1411579260494,e13,nodeM,nodeA
1411579260495,e17,nodeI,nodeH
1411579260496,e8,nodeL,nodeD
1411579260497,e13,nodeA,nodeK
1411579260498,e20,nodeG,nodeD
1411579260499,e9,nodeN,nodeM
1411579260500,e16,nodeI,nodeL
1411579260501,e10,nodeB,nodeH
1411579260502,e9,nodeM,nodeK
1411579260503,e11,nodeL,nodeB
1411579260504,e3,nodeK,nodeN
1411579260505,e1,nodeF,nodeK
1411579260506,e20,nodeD,nodeN
1411579260507,e17,nodeH,nodeB
1411579260508,e8,nodeD,nodeF
1411579260509,e13,nodeK,nodeI
1411579260510,e13,nodeI,nodeL
1411579260511,e21,nodeA,nodeI
1411579260512,e3,nodeN,nodeD
1411579260513,e9,nodeK,nodeH
1411579260514,e9,nodeH,nodeJ
1411579260515,e3,nodeD,nodeK
1411579260516,e3,nodeK,nodeG
1411579260517,e1,nodeK,nodeF
1411579260518,e7,nodeL,nodeK
1411579260519,e14,nodeI,nodeF
1411579260520,e11,nodeB,nodeG
1411579260521,e19,nodeN,nodeC
1411579260522,e22,nodeH,nodeA
1411579260523,e4,nodeM,nodeI
1411579260524,e5,nodeN,nodeB
1411579260525,e8,nodeF,nodeM
1411579260526,e19,nodeC,nodeL
1411579260527,e4,nodeI,nodeE
1411579260528,e5,nodeB,nodeN
1411579260529,e15,nodeJ,nodeE
1411579260530,e2,nodeE,nodeB
1411579260531,e11,nodeG,nodeN
1411579260532,e21,nodeI,nodeA
1411579260533,e14,nodeF,nodeC
1411579260534,e4,nodeE,nodeC
1411579260535,e15,nodeE,nodeM
1411579260536,e1,nodeF,nodeL
1411579260537,e4,nodeC,nodeA
1411579260538,e14,nodeC,nodeB
1411579260539,e21,nodeA,nodeN
1411579260540,e16,nodeL,nodeK
1411579260541,e5,nodeN,nodeE
1411579260542,e22,nodeA,nodeF
1411579260543,e2,nodeB,nodeD
1411579260544,e21,nodeN,nodeE
1411579260545,e17,nodeB,nodeF
1411579260546,e17,nodeF,nodeI
1411579260547,e11,nodeN,nodeG
1411579260548,e13,nodeL,nodeA
1411579260549,e19,nodeL,nodeH
1411579260550,e14,nodeB,nodeI
1411579260551,e18,nodeN,nodeH
1411579260552,e3,nodeG,nodeD
1411579260553,e2,nodeD,nodeE
1411579260554,e11,nodeG,nodeL
1411579260555,e3,nodeD,nodeH
1411579260556,e17,nodeI,nodeB
1411579260557,e22,nodeF,nodeM
1411579260558,e16,nodeK,nodeA
1411579260559,e5,nodeE,nodeJ
1411579260560,e15,nodeM,nodeH
1411579260561,e17,nodeB,nodeH
1411579260562,e14,nodeI,nodeK
1411579260563,e18,nodeH,nodeM
1411579260564,e12,nodeN,nodeF
1411579260565,e19,nodeH,nodeF
1411579260566,e15,nodeH,nodeL
1411579260567,e15,nodeL,nodeI
1411579260568,e13,nodeA,nodeD
1411579260569,e18,nodeM,nodeC
1411579260570,e1,nodeL,nodeK
1411579260571,e19,nodeF,nodeD
1411579260572,e17,nodeH,nodeA
1411579260573,e19,nodeD,nodeK
1411579260574,e20,nodeN,nodeE
1411579260575,e15,nodeI,nodeB
1411579260576,e19,nodeK,nodeH
1411579260577,e5,nodeJ,nodeK
1411579260578,e17,nodeA,nodeC
1411579260579,e13,nodeD,nodeG
1411579260580,e18,nodeC,nodeJ
1411579260581,e10,nodeH,nodeD
1411579260582,e17,nodeC,nodeA
1411579260583,e1,nodeK,nodeM
1411579260584,e19,nodeH,nodeI
1411579260585,e9,nodeJ,nodeC
1411579260586,e7,nodeK,nodeN
1411579260587,e5,nodeK,nodeC
1411579260588,e16,nodeA,nodeK
1411579260589,e3,nodeH,nodeL
1411579260590,e12,nodeF,nodeH
1411579260591,e12,nodeH,nodeF
1411579260592,e13,nodeG,nodeN
1411579260593,e16,nodeK,nodeB
1411579260594,e3,nodeL,nodeE
1411579260595,e18,nodeJ,nodeF
1411579260596,e5,nodeC,nodeD
1411579260597,e13,nodeN,nodeK
1411579260598,e12,nodeF,nodeJ
1411579260599,e11,nodeL,nodeD
1411579260600,e12,nodeJ,nodeD
1411579260601,e9,nodeC,nodeE
1411579260602,e7,nodeN,nodeG
1411579260603,e4,nodeA,nodeM
1411579260604,e1,nodeM,nodeK
1411579260605,e6,nodeE,nodeA
1411579260606,e17,nodeA,nodeK
1411579260607,e10,nodeD,nodeL
1411579260608,e21,nodeE,nodeH
1411579260609,e21,nodeH,nodeE
1411579260610,e4,nodeM,nodeL
1411579260611,e1,nodeK,nodeD
1411579260612,e11,nodeD,nodeI
1411579260613,e17,nodeK,nodeD
1411579260614,e5,nodeD,nodeJ
1411579260615,e13,nodeK,nodeG
1411579260616,e19,nodeI,nodeN
1411579260617,e4,nodeL,nodeM
1411579260618,e7,nodeG,nodeN
1411579260619,e20,nodeE,nodeH
1411579260620,e4,nodeM,nodeN
1411579260621,e10,nodeL,nodeN
1411579260622,e13,nodeG,nodeA
1411579260623,e7,nodeN,nodeL
1411579260624,e4,nodeN,nodeB
1411579260625,e21,nodeE,nodeN
1411579260626,e14,nodeK,nodeJ
1411579260627,e20,nodeH,nodeJ
1411579260628,e22,nodeM,nodeB
1411579260629,e14,nodeJ,nodeA
1411579260630,e18,nodeF,nodeN
1411579260631,e3,nodeE,nodeA
1411579260632,e12,nodeD,nodeC
1411579260633,e15,nodeB,nodeI
1411579260634,e2,nodeE,nodeN
1411579260635,e4,nodeB,nodeL
1411579260636,e12,nodeC,nodeA
1411579260637,e18,nodeN,nodeB
1411579260638,e6,nodeA,nodeC
1411579260639,e22,nodeB,nodeN
1411579260640,e8,nodeM,nodeG
1411579260641,e15,nodeI,nodeD
1411579260642,e3,nodeA,nodeB
1411579260643,e17,nodeD,nodeE
1411579260644,e2,nodeN,nodeH
1411579260645,e19,nodeN,nodeM
1411579260646,e15,nodeD,nodeL
1411579260647,e7,nodeL,nodeA
1411579260648,e3,nodeB,nodeG
1411579260649,e22,nodeN,nodeL
1411579260650,e5,nodeJ,nodeI
1411579260651,e15,nodeL,nodeB
1411579260652,e1,nodeD,nodeA
1411579260653,e10,nodeN,nodeH
1411579260654,e11,nodeI,nodeM
1411579260655,e19,nodeM,nodeB
1411579260656,e13,nodeA,nodeK
1411579260657,e12,nodeA,nodeE
1411579260658,e18,nodeB,nodeE
1411579260659,e6,nodeC,nodeB
1411579260660,e17,nodeE,nodeI
1411579260661,e16,nodeB,nodeJ
1411579260662,e15,nodeB,nodeM
1411579260663,e17,nodeI,nodeH
1411579260664,e2,nodeH,nodeI
1411579260665,e1,nodeA,nodeM
1411579260666,e16,nodeJ,nodeF
1411579260667,e12,nodeE,nodeL
1411579260668,e22,nodeL,nodeH
1411579260669,e19,nodeB,nodeL
1411579260670,e7,nodeA,nodeE
1411579260671,e12,nodeL,nodeE
1411579260672,e19,nodeL,nodeG
1411579260673,e8,nodeG,nodeD
1411579260674,e9,nodeE,nodeL
1411579260675,e4,nodeL,nodeM
1411579260676,e9,nodeL,nodeH
1411579260677,e2,nodeI,nodeH
1411579260678,e2,nodeH,nodeL
1411579260679,e16,nodeF,nodeB
1411579260680,e9,nodeH,nodeJ
1411579260681,e16,nodeB,nodeI
1411579260682,e19,nodeG,nodeE
1411579260683,e15,nodeM,nodeJ
1411579260684,e7,nodeE,nodeC
1411579260685,e10,nodeH,nodeB
1411579260686,e8,nodeD,nodeI
1411579260687,e12,nodeE,nodeN
1411579260688,e9,nodeJ,nodeG
1411579260689,e14,nodeA,nodeJ
1411579260690,e14,nodeJ,nodeD
1411579260691,e7,nodeC,nodeG
1411579260692,e8,nodeI,nodeC
1411579260693,e22,nodeH,nodeN
1411579260694,e22,nodeN,nodeE
1411579260695,e7,nodeG,nodeB
1411579260696,e13,nodeK,nodeI
1411579260697,e14,nodeD,nodeI
1411579260698,e7,nodeB,nodeG
1411579260699,e9,nodeG,nodeJ
1411579260700,e19,nodeE,nodeF
1411579260701,e8,nodeC,nodeE
1411579260702,e8,nodeE,nodeH
1411579260703,e6,nodeB,nodeD
1411579260704,e15,nodeJ,nodeA
1411579260705,e5,nodeI,nodeJ
1411579260706,e20,nodeJ,nodeD
1411579260707,e10,nodeB,nodeM
1411579260708,e13,nodeI,nodeH
1411579260709,e7,nodeG,nodeB
